ticker,event_time,available_time,tradable,price
AAA,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z,true,1
BBB,2026-01-01T00:00:00.000Z,2026-01-01T00:00:00.000Z,true,2
AAA,2026-01-02T00:00:00.000Z,2026-01-02T00:00:00.000Z,true,3
BBB,2026-01-02T00:00:00.000Z,2026-01-02T00:00:00.000Z,true,4
AAA,2026-01-03T00:00:00.000Z,2026-01-03T00:00:00.000Z,true,5
BBB,2026-01-03T00:00:00.000Z,2026-01-03T00:00:00.000Z,true,6
AAA,2026-01-04T00:00:00.000Z,2026-01-04T00:00:00.000Z,true,7
BBB,2026-01-04T00:00:00.000Z,2026-01-04T00:00:00.000Z,true,8
AAA,2026-01-05T00:00:00.000Z,2026-01-05T00:00:00.000Z,true,9
BBB,2026-01-05T00:00:00.000Z,2026-01-05T00:00:00.000Z,true,10
AAA,2026-01-06T00:00:00.000Z,2026-01-06T00:00:00.000Z,true,11
BBB,2026-01-06T00:00:00.000Z,2026-01-06T00:00:00.000Z,false,12
AAA,2026-01-07T00:00:00.000Z,2026-01-07T00:00:00.000Z,true,13
BBB,2026-01-07T00:00:00.000Z,2026-01-07T00:00:00.000Z,true,14
